Wall time,Step,Value
1756079326.7589953,12670,0.2317512035369873
1756079338.4911544,12710,0.17369739711284637
1756079353.286637,12760,0.14977431297302246
1756079370.9768548,12820,0.16543954610824585
1756079394.8951502,12900,0.24015174806118011
1756079418.5897174,12980,0.18397343158721924
1756079442.3939898,13060,0.17784999310970306
1756079469.037195,13150,0.22939808666706085
1756079489.7721334,13220,0.12193216383457184
1756079498.8828151,13250,0.1662454903125763
1756079501.8192172,13260,0.22623774409294128
1756079558.2044342,13450,0.18241433799266815
1756079602.2553065,13600,0.23960290849208832
1756079614.125798,13640,0.1489783674478531
1756079708.945576,13750,0.18855348229408264
1756079711.9045453,13760,0.2479008585214615
1756079723.6428156,13800,0.14940284192562103
1756079833.5756953,14170,0.2393135279417038
1756079895.6725473,14380,0.22751466929912567
1756079898.7299478,14390,0.16325758397579193
1756079952.5656738,14570,0.15944285690784454
1756079955.5374684,14580,0.15933352708816528
1756079964.3555684,14610,0.13706573843955994
1756080003.1431463,14740,0.14759309589862823
1756080009.0144482,14760,0.17732082307338715
1756080104.2478602,14870,0.1753329485654831
1756080113.1159604,14900,0.1804782599210739
1756080124.8380568,14940,0.16861477494239807
1756080148.501165,15020,0.15368838608264923
1756080169.3347516,15090,0.1726059466600418
1756080172.304129,15100,0.1824037879705429
1756080181.2781703,15130,0.16191327571868896
1756080190.222404,15160,0.18525883555412292
1756080225.9653175,15280,0.20025624334812164
1756080255.6294131,15380,0.1983003318309784
1756080285.2672925,15480,0.19017435610294342
1756080294.0542297,15510,0.1728629171848297
1756080335.6118357,15650,0.22011107206344604
1756080344.4043164,15680,0.17009736597537994
1756080359.1552238,15730,0.1911274492740631
1756080368.1259894,15760,0.17292436957359314
1756080394.9161243,15850,0.15944921970367432
1756080427.4340887,15960,0.26363688707351685
1756080504.9229336,16010,0.12936553359031677
1756080510.8437905,16030,0.1785130500793457
1756080581.717267,16270,0.19379518926143646
1756080605.592681,16350,0.1367594450712204
1756080611.600803,16370,0.25755494832992554
1756080641.34054,16470,0.19381777942180634
1756080662.164417,16540,0.19841985404491425
1756080709.636607,16700,0.17228902876377106
1756080730.394941,16770,0.19917728006839752
1756080736.2796903,16790,0.16099485754966736
1756080754.1834965,16850,0.23441669344902039
1756080780.9981353,16940,0.23265324532985687
1756080804.7088869,17020,0.1828715205192566
1756080810.8111124,17040,0.2211245596408844
1756080819.6727567,17070,0.18584662675857544
1756080828.5232918,17100,0.22347287833690643
1756080831.4988618,17110,0.14467111229896545
1756080915.002681,17180,0.1844450831413269
1756080929.8980699,17230,0.1863684356212616
1756080950.6521075,17300,0.1019567921757698
1756080977.366702,17390,0.13974399864673615
